ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2025-01-03T10:30:00.058104540Z,2025-01-03T10:30:00.057938557Z,10,2,17709,C,A,1,107.940000000,17,130,165983,4825026,107.660000000,107.880000000,15,400,1,2,107.640000000,107.950000000,100,10,1,1,107.600000000,108.000000000,50,150,1,2,107.000000000,108.300000000,1,50,1,1,106.240000000,108.550000000,28,50,1,1,106.000000000,108.800000000,15,50,2,1,105.870000000,108.880000000,141,28,1,1,103.180000000,109.450000000,16,137,1,1,103.000000000,109.500000000,3,100,1,1,102.000000000,111.000000000,2,10,1,1,XOM
2025-01-03T10:30:00.058205915Z,2025-01-03T10:30:00.058039541Z,10,2,17709,A,A,2,107.960000000,16,130,166374,4825027,107.660000000,107.880000000,15,400,1,2,107.640000000,107.950000000,100,10,1,1,107.600000000,107.960000000,50,16,1,1,107.000000000,108.000000000,1,150,1,2,106.240000000,108.300000000,28,50,1,1,106.000000000,108.550000000,15,50,2,1,105.870000000,108.800000000,141,50,1,1,103.180000000,108.880000000,16,28,1,1,103.000000000,109.450000000,3,137,1,1,102.000000000,109.500000000,2,100,1,1,XOM
2025-01-03T10:30:00.121104581Z,2025-01-03T10:30:00.120938407Z,10,2,6905,C,A,1,91.960000000,100,130,166174,4825418,91.520000000,91.930000000,7,7,1,1,91.480000000,93.000000000,150,1,1,1,91.440000000,94.000000000,100,1,1,1,90.000000000,95.000000000,122,2,1,2,89.000000000,96.000000000,1,1,1,1,83.810000000,97.000000000,100,2,1,2,83.400000000,99.950000000,100,100,1,1,,100.360000000,0,100,0,1,,,0,0,0,0,,,0,0,0,0,GILD
2025-01-03T10:30:00.121118315Z,2025-01-03T10:30:00.120951956Z,10,2,6905,A,A,1,92.040000000,100,130,166359,4825419,91.520000000,91.930000000,7,7,1,1,91.480000000,92.040000000,150,100,1,1,91.440000000,93.000000000,100,1,1,1,90.000000000,94.000000000,122,1,1,1,89.000000000,95.000000000,1,2,1,2,83.810000000,96.000000000,100,1,1,1,83.400000000,97.000000000,100,2,1,2,,99.950000000,0,100,0,1,,100.360000000,0,100,0,1,,,0,0,0,0,GILD
2025-01-03T10:30:00.122933807Z,2025-01-03T10:30:00.122767682Z,10,2,6905,C,A,0,91.930000000,7,130,166125,4825429,91.520000000,92.040000000,7,100,1,1,91.480000000,93.000000000,150,1,1,1,91.440000000,94.000000000,100,1,1,1,90.000000000,95.000000000,122,2,1,2,89.000000000,96.000000000,1,1,1,1,83.810000000,97.000000000,100,2,1,2,83.400000000,99.950000000,100,100,1,1,,100.360000000,0,100,0,1,,,0,0,0,0,,,0,0,0,0,GILD
2025-01-03T10:30:00.122997978Z,2025-01-03T10:30:00.122831666Z,10,2,6905,A,A,0,91.940000000,7,130,166312,4825431,91.520000000,91.940000000,7,7,1,1,91.480000000,92.040000000,150,100,1,1,91.440000000,93.000000000,100,1,1,1,90.000000000,94.000000000,122,1,1,1,89.000000000,95.000000000,1,2,1,2,83.810000000,96.000000000,100,1,1,1,83.400000000,97.000000000,100,2,1,2,,99.950000000,0,100,0,1,,100.360000000,0,100,0,1,,,0,0,0,0,GILD
2025-01-03T10:30:00.132223106Z,2025-01-03T10:30:00.132057097Z,10,2,6905,C,B,0,91.520000000,7,130,166009,4825461,91.480000000,91.940000000,150,7,1,1,91.440000000,92.040000000,100,100,1,1,90.000000000,93.000000000,122,1,1,1,89.000000000,94.000000000,1,1,1,1,83.810000000,95.000000000,100,2,1,2,83.400000000,96.000000000,100,1,1,1,,97.000000000,0,2,0,2,,99.950000000,0,100,0,1,,100.360000000,0,100,0,1,,,0,0,0,0,GILD
2025-01-03T10:30:00.132284264Z,2025-01-03T10:30:00.132117518Z,10,2,6905,A,B,2,91.430000000,7,130,166746,4825462,91.480000000,91.940000000,150,7,1,1,91.440000000,92.040000000,100,100,1,1,91.430000000,93.000000000,7,1,1,1,90.000000000,94.000000000,122,1,1,1,89.000000000,95.000000000,1,2,1,2,83.810000000,96.000000000,100,1,1,1,83.400000000,97.000000000,100,2,1,2,,99.950000000,0,100,0,1,,100.360000000,0,100,0,1,,,0,0,0,0,GILD
2025-01-03T10:30:00.158721091Z,2025-01-03T10:30:00.158555208Z,10,2,17709,C,B,0,107.660000000,15,130,165883,4825555,107.640000000,107.880000000,100,400,1,2,107.600000000,107.950000000,50,10,1,1,107.000000000,107.960000000,1,16,1,1,106.240000000,108.000000000,28,150,1,2,106.000000000,108.300000000,15,50,2,1,105.870000000,108.550000000,141,50,1,1,103.180000000,108.800000000,16,50,1,1,103.000000000,108.880000000,3,28,1,1,102.000000000,109.450000000,2,137,1,1,101.000000000,109.500000000,1,100,1,1,XOM
2025-01-03T10:30:00.158779618Z,2025-01-03T10:30:00.158613120Z,10,2,17709,A,B,0,107.680000000,16,130,166498,4825556,107.680000000,107.880000000,16,400,1,2,107.640000000,107.950000000,100,10,1,1,107.600000000,107.960000000,50,16,1,1,107.000000000,108.000000000,1,150,1,2,106.240000000,108.300000000,28,50,1,1,106.000000000,108.550000000,15,50,2,1,105.870000000,108.800000000,141,50,1,1,103.180000000,108.880000000,16,28,1,1,103.000000000,109.450000000,3,137,1,1,102.000000000,109.500000000,2,100,1,1,XOM
